106,146,192,192,1.000000
106,145,192,191,0.974279
106,145,192,191,0.924833
104,145,190,191,0.926081
104,145,190,191,0.921003
105,146,191,192,0.897125
105,146,191,192,0.905197
105,147,191,193,0.892015
105,147,191,193,0.923064
106,147,192,193,0.948574
107,147,193,193,0.950635
106,146,195,193,0.948104
106,146,196,194,0.918334
109,145,200,194,0.925471
112,145,203,194,0.908327
115,145,207,194,0.906415
119,145,211,194,0.903573
122,144,213,193,0.901311
124,142,216,192,0.884978
126,142,219,192,0.882832
131,142,222,191,0.880001
136,140,228,189,0.820569
137,138,230,187,0.825775
143,135,235,184,0.785899
146,133,236,181,0.725275
148,131,237,179,0.762672
147,127,237,175,0.701751
150,126,240,174,0.774624
150,124,240,172,0.778050
151,123,240,171,0.797724
151,123,240,171,0.841574
151,123,240,171,0.873643
152,124,243,173,0.883360
151,125,243,174,0.859613
150,125,244,175,0.885948
151,126,245,176,0.861866
154,128,245,177,0.858972
154,128,244,176,0.859714
155,130,245,178,0.854430
155,130,244,177,0.864922
157,131,246,179,0.876666
156,133,246,181,0.789579
157,132,248,181,0.781393
158,133,248,181,0.835985
157,134,248,183,0.856589
159,135,250,183,0.834421
158,136,250,184,0.841578
158,137,249,185,0.821465
159,137,250,185,0.780869
160,138,250,186,0.793679
159,138,242,182,0.630296
160,138,242,182,0.745877
162,140,243,183,0.775923
162,141,242,183,0.742006
165,141,243,182,0.766526
164,141,243,183,0.780997
165,142,244,184,0.770503
166,142,245,184,0.778506
166,142,245,184,0.777576
166,142,246,184,0.779552
166,143,247,186,0.788805
165,143,246,186,0.700627
165,144,246,187,0.712143
166,144,247,187,0.704339
165,144,246,187,0.706615
166,145,246,188,0.653435
163,144,244,187,0.598206
162,145,243,188,0.664640
161,145,241,188,0.650832
158,146,238,189,0.633013
157,146,237,189,0.563576
154,147,234,190,0.571346
154,147,234,190,0.547035
153,147,234,190,0.555103
150,147,232,191,0.530242
150,146,232,190,0.646991
147,147,230,191,0.592624
145,146,229,191,0.682847
143,146,227,191,0.718295
142,146,226,191,0.679171
139,146,223,191,0.690857
138,146,221,191,0.652539
136,146,219,191,0.588880
141,148,223,192,0.484001
139,147,221,191,0.602783
137,148,219,192,0.581337
133,148,216,192,0.617356
131,148,214,192,0.650918
128,148,212,192,0.681851
126,148,210,192,0.672919
123,148,207,192,0.672314
119,148,203,192,0.675314
118,148,202,192,0.666397
115,149,199,193,0.704586
113,148,197,192,0.662340
111,149,194,193,0.679799
106,148,190,193,0.679813
104,147,189,192,0.692989
101,148,186,193,0.678332
98,147,183,192,0.665222
96,148,181,193,0.665173
92,148,177,193,0.687579
92,147,177,192,0.671599
91,147,176,192,0.625545
89,147,173,192,0.592406
85,148,169,193,0.619055
81,147,166,192,0.603569
79,148,164,193,0.597022
76,148,160,193,0.617527
74,148,158,193,0.640175
71,149,156,195,0.679553
68,148,153,194,0.656725
67,149,152,195,0.661122
61,150,146,196,0.662390
60,150,145,196,0.635632
59,150,144,196,0.629929
58,150,143,196,0.635176
55,150,141,196,0.647123
52,151,138,197,0.656095
47,150,133,196,0.651396
44,151,130,197,0.659788
41,150,127,196,0.675449
40,150,126,196,0.672792
38,150,124,196,0.678865
37,150,123,196,0.669533
35,150,121,196,0.665042
34,150,120,196,0.651867
31,150,119,197,0.649113
28,148,118,196,0.661375
24,147,115,195,0.654457
22,146,114,195,0.647497
20,146,112,195,0.667939
19,145,112,194,0.651016
16,144,109,193,0.642455
12,144,105,193,0.662544
10,143,102,192,0.661344
9,142,100,191,0.666146
8,141,99,190,0.668587
8,139,99,188,0.668450
9,137,102,187,0.701254
9,135,103,185,0.666702
11,134,104,183,0.671309
11,132,105,182,0.688265
11,130,106,180,0.699327
12,128,106,178,0.699562
13,127,107,177,0.708886
12,126,107,176,0.739445
13,124,107,174,0.741132
13,124,106,174,0.779669
13,123,107,173,0.805125
14,123,109,173,0.787742
13,123,108,173,0.766198
14,122,107,172,0.781525
15,123,108,173,0.798505
